names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
MBD4,0.8333225,0.1661956,0.40466285976190275,0.8047007586646205,0.213142174432497,High_CNV,High_CNV_vs_Low_CNV,False
LHX9,0.8311185,6.565954,0.4059066809427737,0.8067075835149561,0.010752688172043012,High_CNV,High_CNV_vs_Low_CNV,False
KLHDC8A,0.8311094,22.318012,0.4059118254322611,0.8067075835149561,0.010513739545997611,High_CNV,High_CNV_vs_Low_CNV,False
SRD5A2,0.8311003,4.193528,0.4059169699606888,0.8067075835149561,0.011708482676224612,High_CNV,High_CNV_vs_Low_CNV,False
APOBEC4,0.8310821,5.1969786,0.40592725913436467,0.8067075835149561,0.011230585424133811,High_CNV,High_CNV_vs_Low_CNV,False
RAD18,0.830818,0.51685345,0.4060764696555995,0.8069195564772051,0.031541218637992835,High_CNV,High_CNV_vs_Low_CNV,False
ADAMTS14,0.8300803,3.0237005,0.4064934035268051,0.807589047486075,0.011708482676224612,High_CNV,High_CNV_vs_Low_CNV,False
SNHG21,0.83007115,0.49175733,0.40649855245463073,0.807589047486075,0.035364396654719236,High_CNV,High_CNV_vs_Low_CNV,False
LINC00865,0.8299619,2.9760473,0.4065603426246659,0.8076272020400952,0.011708482676224612,High_CNV,High_CNV_vs_Low_CNV,False
COL4A5,0.8298526,2.711636,0.4066221383996963,0.8076653597350482,0.012425328554360812,High_CNV,High_CNV_vs_Low_CNV,False
SUMO1,0.8296977,0.083078906,0.40670969200853657,0.8076775687661675,0.5077658303464755,High_CNV,High_CNV_vs_Low_CNV,False
GCNT4,0.8296249,2.5657647,0.4067508975988263,0.8076775687661675,0.011947431302270013,High_CNV,High_CNV_vs_Low_CNV,False
PLEKHH1,0.8296158,2.5936956,0.40675604847274793,0.8076775687661675,0.011708482676224612,High_CNV,High_CNV_vs_Low_CNV,False
GLB1L,0.82920593,0.90449953,0.4069878780778653,0.808053298549698,0.03058542413381123,High_CNV,High_CNV_vs_Low_CNV,False
NIPBL,0.82902837,0.12811007,0.4070883620452409,0.8081681970258551,0.24205495818399045,High_CNV,High_CNV_vs_Low_CNV,False
GPR180,0.82872325,0.23382573,0.40726102288989174,0.8084263448929032,0.04922341696535245,High_CNV,High_CNV_vs_Low_CNV,False
PLD6,0.8279218,1.7607911,0.4077147877109639,0.8090730301285373,0.014097968936678614,High_CNV,High_CNV_vs_Low_CNV,False
ST7L,0.82748467,0.4239292,0.4079624227498052,0.8094052941892792,0.04946236559139785,High_CNV,High_CNV_vs_Low_CNV,False
NNT,0.82747555,0.26471245,0.4079675827659014,0.8094052941892792,0.11445639187574672,High_CNV,High_CNV_vs_Low_CNV,False
FBXL19-AS1,0.8268653,1.4623069,0.408313392422199,0.8099219210633829,0.014814814814814815,High_CNV,High_CNV_vs_Low_CNV,False
SLC25A16,0.82638264,0.2958221,0.4085870669782563,0.8103362465082651,0.055197132616487454,High_CNV,High_CNV_vs_Low_CNV,False
ZNF620,0.82480705,1.121728,0.4094811418167641,0.8118985733983201,0.017204301075268817,High_CNV,High_CNV_vs_Low_CNV,False
GDF11,0.8245247,0.17571451,0.4096414746141114,0.8121315665959253,0.04181600955794504,High_CNV,High_CNV_vs_Low_CNV,False
UGGT1,0.8244336,0.23630105,0.4096932028343123,0.8121492204194348,0.08912783751493429,High_CNV,High_CNV_vs_Low_CNV,False
ERF,0.8242515,0.29875913,0.40979667092703553,0.8122694255989997,0.12162485065710872,High_CNV,High_CNV_vs_Low_CNV,False
ZNF816-ZNF321P,0.82415134,0.99078757,0.4098535850001154,0.8122973392754924,0.01863799283154122,High_CNV,High_CNV_vs_Low_CNV,False
COMMD6,0.8240375,-0.07712632,0.4099182657873739,0.8123406385222096,0.7655913978494624,High_CNV,High_CNV_vs_Low_CNV,False
SLC35G2,0.8233134,1.0309651,0.4103297776046567,0.8129013091269522,0.017443249701314216,High_CNV,High_CNV_vs_Low_CNV,False
DCAF4,0.8226759,0.9135895,0.4106923182056612,0.8135345534541848,0.023894862604540025,High_CNV,High_CNV_vs_Low_CNV,False
RGS5,0.8218653,0.87313575,0.41115353731240145,0.8142546446324189,0.01887694145758662,High_CNV,High_CNV_vs_Low_CNV,False
ZNF891,0.8218107,0.8794256,0.4111846417951319,0.8142546446324189,0.022700119474313024,High_CNV,High_CNV_vs_Low_CNV,False
USP13,0.8213963,0.3621079,0.41142056291465123,0.8146367692291042,0.035364396654719236,High_CNV,High_CNV_vs_Low_CNV,False
ARIH2OS,0.82049924,0.62151796,0.41193156836885914,0.8155634402458936,0.03608124253285543,High_CNV,High_CNV_vs_Low_CNV,False
CCNF,0.8200985,0.684873,0.4121599563525158,0.81593043551414,0.019115890083632018,High_CNV,High_CNV_vs_Low_CNV,False
