names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
PTGES3,-1.4964553,-0.07297547,0.13453503543043266,0.38770049338066487,0.5908854166666667,Cancer,Cancer_vs_Normal,False
USPL1,-1.4965599,-0.54855204,0.13450782763607916,0.3876809956106749,0.03463541666666667,Cancer,Cancer_vs_Normal,False
CLUH,-1.4971032,-0.6462957,0.1343664156744673,0.3873322804782296,0.04010416666666667,Cancer,Cancer_vs_Normal,False
SLC25A29,-1.4995272,-0.79619783,0.13373690090542223,0.38557621247663915,0.03463541666666667,Cancer,Cancer_vs_Normal,False
ATL2,-1.4999452,-0.46607178,0.13362859486234666,0.38532253330764854,0.04140625,Cancer,Cancer_vs_Normal,False
MPV17L2,-1.5004398,-0.4242912,0.13350052039166188,0.3850117653935322,0.04609375,Cancer,Cancer_vs_Normal,False
ICA1,-1.50161,-0.2630972,0.1331978492327158,0.38419729440280687,0.05755208333333333,Cancer,Cancer_vs_Normal,False
SVIL-AS1,-1.5019861,-0.67783976,0.13310067495552244,0.3839754031839798,0.04973958333333333,Cancer,Cancer_vs_Normal,False
MFGE8,-1.5021324,-0.4964801,0.13306289978231245,0.3839248279889785,0.03203125,Cancer,Cancer_vs_Normal,False
HNRNPLL,-1.5025853,0.058658935,0.1329460292244131,0.3836459896897435,0.12734375,Cancer,Cancer_vs_Normal,False
PES1,-1.5027245,-0.058732573,0.13291008504505125,0.38360063352296403,0.10130208333333333,Cancer,Cancer_vs_Normal,False
PTDSS1,-1.5030172,0.056117397,0.13283462675878516,0.38349957321972306,0.17838541666666666,Cancer,Cancer_vs_Normal,False
AMMECR1L,-1.5038531,-0.57847595,0.13261921442196742,0.38293596247146955,0.028645833333333332,Cancer,Cancer_vs_Normal,False
TNFRSF19,-1.5044869,-2.8344326,0.13245604049748172,0.38252304066312487,0.0046875,Cancer,Cancer_vs_Normal,False
ZXDC,-1.505267,-0.60287684,0.13225542456668418,0.38206003456316306,0.030989583333333334,Cancer,Cancer_vs_Normal,False
ZNF224,-1.5061796,-0.15677989,0.13202107432644009,0.38144114482037417,0.06796875,Cancer,Cancer_vs_Normal,False
CWF19L2,-1.5069877,-0.009006747,0.13181382679139952,0.3809003847476599,0.17395833333333333,Cancer,Cancer_vs_Normal,False
PBRM1,-1.5073847,0.030601889,0.13171208206538998,0.3806643761612498,0.23776041666666667,Cancer,Cancer_vs_Normal,False
CNOT3,-1.5082276,-0.16450155,0.13149629940138252,0.38009866150696836,0.057291666666666664,Cancer,Cancer_vs_Normal,False
ZNF846,-1.5084714,-0.57072574,0.13143393405279122,0.37997630477304656,0.03697916666666667,Cancer,Cancer_vs_Normal,False
SCAMP4,-1.5085897,0.058591776,0.13140365058653214,0.3799466737877088,0.13567708333333334,Cancer,Cancer_vs_Normal,False
AP1AR,-1.509154,-0.30094555,0.13125943305918897,0.3795875492478681,0.06015625,Cancer,Cancer_vs_Normal,False
AURKA,-1.5092864,-0.67510694,0.13122562203227528,0.3795476470706269,0.021354166666666667,Cancer,Cancer_vs_Normal,False
LINC00607,-1.5098923,-2.7908185,0.1310708893659569,0.37915793423205807,0.004166666666666667,Cancer,Cancer_vs_Normal,False
SUCO,-1.5102755,-0.09515138,0.1309731428821549,0.3789329755545488,0.08098958333333334,Cancer,Cancer_vs_Normal,False
USP19,-1.5112576,-0.5951649,0.130722814674692,0.3782664297078934,0.036458333333333336,Cancer,Cancer_vs_Normal,False
CEP164,-1.5112925,-0.04354786,0.13071394460637523,0.3782664297078934,0.07916666666666666,Cancer,Cancer_vs_Normal,False
DOLK,-1.5112995,-0.5212447,0.13071217064873777,0.3782664297078934,0.03046875,Cancer,Cancer_vs_Normal,False
POLD1,-1.5113691,-0.49692157,0.13069443209947484,0.3782664297078934,0.029947916666666668,Cancer,Cancer_vs_Normal,False
COG2,-1.5118777,-0.06999321,0.13056499725561266,0.3780404844202586,0.08177083333333333,Cancer,Cancer_vs_Normal,False
GTF2E1,-1.5120587,-0.6669192,0.130518921199478,0.37796477943931905,0.03333333333333333,Cancer,Cancer_vs_Normal,False
BTN2A1,-1.5127971,-0.12360632,0.130331203208806,0.37747881320326904,0.09453125,Cancer,Cancer_vs_Normal,False
AP5S1,-1.5130479,-0.39383894,0.13026749760826856,0.37735193098225345,0.03984375,Cancer,Cancer_vs_Normal,False
DDX10,-1.5132707,-0.089437366,0.13021089069622743,0.3772455762380008,0.071875,Cancer,Cancer_vs_Normal,False
SZT2,-1.5139674,-0.6833689,0.1300341171284186,0.3768485683588721,0.03463541666666667,Cancer,Cancer_vs_Normal,False
BTBD2,-1.5145873,-0.5383201,0.12987694536677408,0.3764505989425142,0.05364583333333333,Cancer,Cancer_vs_Normal,False
ZBTB33,-1.5149008,-0.3066137,0.12979753265127497,0.3762779282683323,0.04453125,Cancer,Cancer_vs_Normal,False
ZNF581,-1.515284,-0.043861482,0.1297005238637289,0.3760541866802658,0.13515625,Cancer,Cancer_vs_Normal,False
CREB1,-1.516287,-0.0030779736,0.12944680384196852,0.37537593805243624,0.159375,Cancer,Cancer_vs_Normal,False
MAEA,-1.5173388,-0.058873035,0.1291811643766316,0.3746629121276676,0.11171875,Cancer,Cancer_vs_Normal,False
CLEC5A,-1.5174154,-0.43882605,0.1291618297158169,0.3746629121276676,0.04895833333333333,Cancer,Cancer_vs_Normal,False
PTP4A3,-1.5176035,-0.2821585,0.1291143814420998,0.3745837913491545,0.04609375,Cancer,Cancer_vs_Normal,False
LDAH,-1.5183698,-0.79146624,0.12892121359814754,0.37408060218617933,0.0265625,Cancer,Cancer_vs_Normal,False
CHST7,-1.5188782,-0.78070855,0.12879314439040637,0.37376617955073554,0.02734375,Cancer,Cancer_vs_Normal,False
ASB7,-1.5193449,-0.5403047,0.12867568844030844,0.373482465759175,0.029947916666666668,Cancer,Cancer_vs_Normal,False
ANKRD27,-1.5194843,-0.52276486,0.1286406431000669,0.37343789934069627,0.030208333333333334,Cancer,Cancer_vs_Normal,False
POU2F1,-1.5197281,-0.21248281,0.12857933160344714,0.37337421893421757,0.06927083333333334,Cancer,Cancer_vs_Normal,False
TMEM109,-1.5197351,-0.026967397,0.1285775801801593,0.37337421893421757,0.24192708333333332,Cancer,Cancer_vs_Normal,False
PDZD7,-1.5200624,-1.9895804,0.12849528419768244,0.37324445777439846,0.005208333333333333,Cancer,Cancer_vs_Normal,False
TEP1,-1.5208775,-0.6824282,0.12829059753561037,0.37270698257702983,0.034375,Cancer,Cancer_vs_Normal,False
JADE2,-1.5215044,-0.13256498,0.1281333188035199,0.37230709224892833,0.071875,Cancer,Cancer_vs_Normal,False
AP1G1,-1.5229602,-0.052633107,0.1277686609300556,0.3713613263660543,0.0921875,Cancer,Cancer_vs_Normal,False
RPE,-1.5231413,-0.14182237,0.1277233532978766,0.37128654127747235,0.1125,Cancer,Cancer_vs_Normal,False
PPP1R8,-1.5234617,0.04419637,0.12764322425296715,0.37111049332477725,0.10520833333333333,Cancer,Cancer_vs_Normal,False
CCNY,-1.5243882,-0.034280375,0.12741176674863555,0.3704943508721057,0.16145833333333334,Cancer,Cancer_vs_Normal,False
COG6,-1.5244648,-0.56077665,0.12739263827566433,0.3704943508721057,0.03802083333333333,Cancer,Cancer_vs_Normal,False
RPUSD4,-1.5246807,-0.12171637,0.12733874278119053,0.37039559154068685,0.05130208333333333,Cancer,Cancer_vs_Normal,False
HELQ,-1.5248618,-0.5415996,0.1272935537885806,0.3703209460960931,0.048177083333333336,Cancer,Cancer_vs_Normal,False
ST7L,-1.5249037,-0.5256645,0.12728312733162184,0.3703209460960931,0.0421875,Cancer,Cancer_vs_Normal,False
PPAN,-1.5250082,-0.06794864,0.1272570640963091,0.3703209460960931,0.065625,Cancer,Cancer_vs_Normal,False
SMPDL3B,-1.5257326,-1.3134402,0.12707647318542822,0.36985962461044297,0.016666666666666666,Cancer,Cancer_vs_Normal,False
C1QC,-1.5257953,-0.09130227,0.12706085450676813,0.36985962461044297,0.36822916666666666,Cancer,Cancer_vs_Normal,False
LRR1,-1.5258998,-0.28661355,0.12703482669549435,0.36985962461044297,0.053125,Cancer,Cancer_vs_Normal,False
